Months,Years,Area,Flood
Feb,2019,Islamabad,
Mar,2019,Islamabad,
Apr,2019,Islamabad,
May,2019,Islamabad,
Jun,2019,Islamabad,
Jul,2019,Islamabad,
Aug,2019,Islamabad,
Sep,2019,Islamabad,
Oct,2019,Islamabad,
Nov,2019,Islamabad,
Dec,2019,Islamabad,
Jan,2020,Islamabad,
Feb,2020,Islamabad,
Mar,2020,Islamabad,
Apr,2020,Islamabad,
May,2020,Islamabad,
Jun,2020,Islamabad,
Jul,2020,Islamabad,
Aug,2020,Islamabad,
Sep,2020,Islamabad,
Oct,2020,Islamabad,
Nov,2020,Islamabad,
Dec,2020,Islamabad,
Jan,2021,Islamabad,
Feb,2021,Islamabad,
Mar,2021,Islamabad,
Apr,2021,Islamabad,
May,2021,Islamabad,
Jun,2021,Islamabad,
Jul,2021,Islamabad,Yes
Aug,2021,Islamabad,
Sep,2021,Islamabad,
Oct,2021,Islamabad,
Nov,2021,Islamabad,
Dec,2021,Islamabad,
