Months,Years,Area,Flood,,,,,,,,,,,,,
June,2010,Balochistan,,,,,,,,,,,,,,
July,2010,Balochistan,Yes,,,,,,,,,,,,,
August,2010,Balochistan,,,,,,,,,,,,,,
September,2010,Balochistan,,,,,,,,,,,,,,
October,2010,Balochistan,,,,,,,,,,,,,,
November,2010,Balochistan,,,,,,,,,,,,,,
December,2010,Balochistan,,,,,,,,,,,,,,
Janruary,2011,Balochistan,Yes,,,,,,,,,,,,,
February,2011,Balochistan,,,,,,,,,,,,,,
March,2011,Balochistan,,,,,,,,,,,,,,
April,2011,Balochistan,,,,,,,,,,,,,,
May,2011,Balochistan,,,,,,,,,,,,,,
June,2011,Balochistan,,,,,,,,,,,,,,
July,2011,Balochistan,,,,,,,,,,,,,,
August,2011,Balochistan,,,,,,,,,,,,,,
September,2011,Balochistan,,,,,,,,,,,,,,
October,2011,Balochistan,,,,,,,,,,,,,,
November,2011,Balochistan,,,,,,,,,,,,,,
December,2011,Balochistan,,,,,,,,,,,,,,
Janruary,2012,Balochistan,,,,,,,,,,,,,,
February,2012,Balochistan,,,,,,,,,,,,,,
March,2012,Balochistan,,,,,,,,,,,,,,
April,2012,Balochistan,,,,,,,,,,,,,,
May,2012,Balochistan,,,,,,,,,,,,,,
June,2012,Balochistan,,,,,,,,,,,,,,
July,2012,Balochistan,,,,,,,,,,,,,,
August,2012,Balochistan,,,,,,,,,,,,,,
September,2012,Balochistan,,,,,,,,,,,,,,
October,2012,Balochistan,,,,,,,,,,,,,,
November,2012,Balochistan,,,,,,,,,,,,,,
December,2012,Balochistan,,,,,,,,,,,,,,
Janruary,2013,Balochistan,,,,,,,,,,,,,,
February,2013,Balochistan,,,,,,,,,,,,,,
March,2013,Balochistan,,,,,,,,,,,,,,
April,2013,Balochistan,,,,,,,,,,,,,,
May,2013,Balochistan,,,,,,,,,,,,,,
June,2013,Balochistan,,,,,,,,,,,,,,
July,2013,Balochistan,,,,,,,,,,,,,,
August,2013,Balochistan,,,,,,,,,,,,,,
September,2013,Balochistan,Yes,,,,,,,,,,,,,
October,2013,Balochistan,,,,,,,,,,,,,,
November,2013,Balochistan,,,,,,,,,,,,,,
December,2013,Balochistan,,,,,,,,,,,,,,
Janruary,2014,Balochistan,,,,,,,,,,,,,,
February,2014,Balochistan,,,,,,,,,,,,,,
March,2014,Balochistan,,,,,,,,,,,,,,
April,2014,Balochistan,,,,,,,,,,,,,,
May,2014,Balochistan,,,,,,,,,,,,,,
June,2014,Balochistan,,,,,,,,,,,,,,
July,2014,Balochistan,Yes,,,,,,,,,,,,,
August,2014,Balochistan,,,,,,,,,,,,,,
September,2014,Balochistan,,,,,,,,,,,,,,
October,2014,Balochistan,,,,,,,,,,,,,,
November,2014,Balochistan,,,,,,,,,,,,,,
December,2014,Balochistan,,,,,,,,,,,,,,
Janruary,2015,Balochistan,,,,,,,,,,,,,,
February,2015,Balochistan,,,,,,,,,,,,,,
March,2015,Balochistan,,,,,,,,,,,,,,
April,2015,Balochistan,,,,,,,,,,,,,,
May,2015,Balochistan,,,,,,,,,,,,,,
June,2015,Balochistan,,,,,,,,,,,,,,
July,2015,Balochistan,,,,,,,,,,,,,,
August,2015,Balochistan,,,,,,,,,,,,,,
September,2015,Balochistan,,,,,,,,,,,,,,
October,2015,Balochistan,,,,,,,,,,,,,,
November,2015,Balochistan,,,,,,,,,,,,,,
December,2015,Balochistan,,,,,,,,,,,,,,
Janruary,2016,Balochistan,,,,,,,,,,,,,,
February,2016,Balochistan,,,,,,,,,,,,,,
March,2016,Balochistan,,,,,,,,,,,,,,
April,2016,Balochistan,,,,,,,,,,,,,,
May,2016,Balochistan,,,,,,,,,,,,,,
June,2016,Balochistan,Yes,,,,,,,,,,,,,
July,2016,Balochistan,,,,,,,,,,,,,,
August,2016,Balochistan,,,,,,,,,,,,,,
September,2016,Balochistan,,,,,,,,,,,,,,
October,2016,Balochistan,,,,,,,,,,,,,,
November,2016,Balochistan,,,,,,,,,,,,,,
December,2016,Balochistan,,,,,,,,,,,,,,
Janruary,2017,Balochistan,,,,,,,,,,,,,,
February,2017,Balochistan,,,,,,,,,,,,,,
March,2017,Balochistan,,,,,,,,,,,,,,
April,2017,Balochistan,,,,,,,,,,,,,,
May,2017,Balochistan,,,,,,,,,,,,,,
June,2017,Balochistan,,,,,,,,,,,,,,
July,2017,Balochistan,,,,,,,,,,,,,,
August,2017,Balochistan,,,,,,,,,,,,,,
September,2017,Balochistan,,,,,,,,,,,,,,
October,2017,Balochistan,,,,,,,,,,,,,,
November,2017,Balochistan,,,,,,,,,,,,,,
December,2017,Balochistan,,,,,,,,,,,,,,
Janruary,2018,Balochistan,,,,,,,,,,,,,,
February,2018,Balochistan,,,,,,,,,,,,,,
March,2018,Balochistan,,,,,,,,,,,,,,
April,2018,Balochistan,,,,,,,,,,,,,,
May,2018,Balochistan,,,,,,,,,,,,,,
June,2018,Balochistan,,,,,,,,,,,,,,
July,2018,Balochistan,,,,,,,,,,,,,,
August,2018,Balochistan,,,,,,,,,,,,,,
September,2018,Balochistan,,,,,,,,,,,,,,
October,2018,Balochistan,,,,,,,,,,,,,,
November,2018,Balochistan,,,,,,,,,,,,,,
December,2018,Balochistan,,,,,,,,,,,,,,
Janruary,2019,Balochistan,,,,,,,,,,,,,,
February,2019,Balochistan,Yes,,,,,,,,,,,,,
March,2019,Balochistan,,,,,,,,,,,,,,
April,2019,Balochistan,,,,,,,,,,,,,,
May,2019,Balochistan,,,,,,,,,,,,,,
June,2019,Balochistan,,,,,,,,,,,,,,
July,2019,Balochistan,,,,,,,,,,,,,,
August,2019,Balochistan,,,,,,,,,,,,,,
September,2019,Balochistan,,,,,,,,,,,,,,
October,2019,Balochistan,,,,,,,,,,,,,,
November,2019,Balochistan,,,,,,,,,,,,,,
December,2019,Balochistan,,,,,,,,,,,,,,
Janruary,2020,Balochistan,,,,,,,,,,,,,,
February,2020,Balochistan,,,,,,,,,,,,,,
March,2020,Balochistan,,,,,,,,,,,,,,
April,2020,Balochistan,,,,,,,,,,,,,,
May,2020,Balochistan,,,,,,,,,,,,,,
June,2020,Balochistan,,,,,,,,,,,,,,
July,2020,Balochistan,,,,,,,,,,,,,,
August,2020,Balochistan,,,,,,,,,,,,,,
September,2020,Balochistan,,,,,,,,,,,,,,
October,2020,Balochistan,,,,,,,,,,,,,,
November,2020,Balochistan,,,,,,,,,,,,,,
December,2020,Balochistan,,,,,,,,,,,,,,
Janruary,2021,Balochistan,,,,,,,,,,,,,,
February,2021,Balochistan,,,,,,,,,,,,,,
March,2021,Balochistan,,,,,,,,,,,,,,
April,2021,Balochistan,,,,,,,,,,,,,,
May,2021,Balochistan,,,,,,,,,,,,,,
June,2021,Balochistan,,,,,,,,,,,,,,
July,2021,Balochistan,,,,,,,,,,,,,,
August,2021,Balochistan,,,,,,,,,,,,,,
September,2021,Balochistan,,,,,,,,,,,,,,
October,2021,Balochistan,,,,,,,,,,,,,,
November,2021,Balochistan,,,,,,,,,,,,,,
December,2021,Balochistan,,,,,,,,,,,,,,
