Months,Years,Area,Flood,,,,,,,,,,,,,
October,2010,Sindh,,,,,,,,,,,,,,
November,2010,Sindh,,,,,,,,,,,,,,
December,2010,Sindh,,,,,,,,,,,,,,
Janruary,2011,Sindh,,,,,,,,,,,,,,
February,2011,Sindh,,,,,,,,,,,,,,
March,2011,Sindh,,,,,,,,,,,,,,
April,2011,Sindh,,,,,,,,,,,,,,
May,2011,Sindh,,,,,,,,,,,,,,
June,2011,Sindh,,,,,,,,,,,,,,
July,2011,Sindh,,,,,,,,,,,,,,
August,2011,Sindh,Yes,,,,,,,,,,,,,
September,2011,Sindh,,,,,,,,,,,,,,
October,2011,Sindh,,,,,,,,,,,,,,
November,2011,Sindh,,,,,,,,,,,,,,
December,2011,Sindh,,,,,,,,,,,,,,
Janruary,2012,Sindh,,,,,,,,,,,,,,
February,2012,Sindh,,,,,,,,,,,,,,
March,2012,Sindh,,,,,,,,,,,,,,
April,2012,Sindh,,,,,,,,,,,,,,
May,2012,Sindh,,,,,,,,,,,,,,
June,2012,Sindh,,,,,,,,,,,,,,
July,2012,Sindh,,,,,,,,,,,,,,
August,2012,Sindh,,,,,,,,,,,,,,
September,2012,Sindh,Yes,,,,,,,,,,,,,
October,2012,Sindh,,,,,,,,,,,,,,
November,2012,Sindh,,,,,,,,,,,,,,
December,2012,Sindh,,,,,,,,,,,,,,
Janruary,2013,Sindh,,,,,,,,,,,,,,
February,2013,Sindh,,,,,,,,,,,,,,
March,2013,Sindh,,,,,,,,,,,,,,
April,2013,Sindh,,,,,,,,,,,,,,
May,2013,Sindh,,,,,,,,,,,,,,
June,2013,Sindh,,,,,,,,,,,,,,
July,2013,Sindh,Yes,,,,,,,,,,,,,
August,2013,Sindh,,,,,,,,,,,,,,
September,2013,Sindh,,,,,,,,,,,,,,
October,2013,Sindh,,,,,,,,,,,,,,
November,2013,Sindh,,,,,,,,,,,,,,
December,2013,Sindh,,,,,,,,,,,,,,
