Months,Years,Area,Flood
Jul,2020,Punjab,
Aug,2020,Punjab,
Sep,2020,Punjab,
Oct,2020,Punjab,
Nov,2020,Punjab,
Dec,2020,Punjab,
Jan,2021,Punjab,
Feb,2021,Punjab,
Mar,2021,Punjab,
Apr,2021,Punjab,
May,2021,Punjab,
Jun,2021,Punjab,
Jul,2021,Punjab,
Aug,2021,Punjab,
Sep,2021,Punjab,
Oct,2021,Punjab,
Nov,2021,Punjab,
Dec,2021,Punjab,
