Months,Years,Area,Flood,,,,,,,,,,,,,
June,2010,Gilgit,,,,,,,,,,,,,,
July,2010,Gilgit,Yes,,,,,,,,,,,,,
August,2010,Gilgit,,,,,,,,,,,,,,
September,2010,Gilgit,,,,,,,,,,,,,,
October,2010,Gilgit,,,,,,,,,,,,,,
November,2010,Gilgit,,,,,,,,,,,,,,
December,2010,Gilgit,,,,,,,,,,,,,,
Janruary,2011,Gilgit,,,,,,,,,,,,,,
February,2011,Gilgit,,,,,,,,,,,,,,
March,2011,Gilgit,,,,,,,,,,,,,,
April,2011,Gilgit,,,,,,,,,,,,,,
May,2011,Gilgit,,,,,,,,,,,,,,
June,2011,Gilgit,,,,,,,,,,,,,,
July,2011,Gilgit,,,,,,,,,,,,,,
August,2011,Gilgit,,,,,,,,,,,,,,
September,2011,Gilgit,,,,,,,,,,,,,,
October,2011,Gilgit,,,,,,,,,,,,,,
November,2011,Gilgit,,,,,,,,,,,,,,
December,2011,Gilgit,,,,,,,,,,,,,,
Janruary,2012,Gilgit,,,,,,,,,,,,,,
February,2012,Gilgit,,,,,,,,,,,,,,
March,2012,Gilgit,,,,,,,,,,,,,,
April,2012,Gilgit,,,,,,,,,,,,,,
May,2012,Gilgit,,,,,,,,,,,,,,
June,2012,Gilgit,,,,,,,,,,,,,,
July,2012,Gilgit,,,,,,,,,,,,,,
August,2012,Gilgit,,,,,,,,,,,,,,
September,2012,Gilgit,,,,,,,,,,,,,,
October,2012,Gilgit,,,,,,,,,,,,,,
November,2012,Gilgit,,,,,,,,,,,,,,
December,2012,Gilgit,,,,,,,,,,,,,,
Janruary,2013,Gilgit,,,,,,,,,,,,,,
February,2013,Gilgit,,,,,,,,,,,,,,
March,2013,Gilgit,,,,,,,,,,,,,,
April,2013,Gilgit,,,,,,,,,,,,,,
May,2013,Gilgit,,,,,,,,,,,,,,
June,2013,Gilgit,,,,,,,,,,,,,,
July,2013,Gilgit,,,,,,,,,,,,,,
August,2013,Gilgit,,,,,,,,,,,,,,
September,2013,Gilgit,,,,,,,,,,,,,,
October,2013,Gilgit,,,,,,,,,,,,,,
November,2013,Gilgit,,,,,,,,,,,,,,
December,2013,Gilgit,,,,,,,,,,,,,,
Janruary,2014,Gilgit,,,,,,,,,,,,,,
February,2014,Gilgit,,,,,,,,,,,,,,
March,2014,Gilgit,,,,,,,,,,,,,,
April,2014,Gilgit,,,,,,,,,,,,,,
May,2014,Gilgit,,,,,,,,,,,,,,
June,2014,Gilgit,,,,,,,,,,,,,,
July,2014,Gilgit,,,,,,,,,,,,,,
August,2014,Gilgit,,,,,,,,,,,,,,
September,2014,Gilgit,Yes,,,,,,,,,,,,,
October,2014,Gilgit,,,,,,,,,,,,,,
November,2014,Gilgit,,,,,,,,,,,,,,
December,2014,Gilgit,,,,,,,,,,,,,,
Janruary,2015,Gilgit,,,,,,,,,,,,,,
February,2015,Gilgit,,,,,,,,,,,,,,
March,2015,Gilgit,,,,,,,,,,,,,,
April,2015,Gilgit,,,,,,,,,,,,,,
May,2015,Gilgit,,,,,,,,,,,,,,
June,2015,Gilgit,,,,,,,,,,,,,,
July,2015,Gilgit,,,,,,,,,,,,,,
August,2015,Gilgit,,,,,,,,,,,,,,
September,2015,Gilgit,,,,,,,,,,,,,,
October,2015,Gilgit,,,,,,,,,,,,,,
November,2015,Gilgit,,,,,,,,,,,,,,
December,2015,Gilgit,,,,,,,,,,,,,,
Janruary,2016,Gilgit,,,,,,,,,,,,,,
February,2016,Gilgit,,,,,,,,,,,,,,
March,2016,Gilgit,Yes,,,,,,,,,,,,,
April,2016,Gilgit,,,,,,,,,,,,,,
May,2016,Gilgit,,,,,,,,,,,,,,
June,2016,Gilgit,Yes,,,,,,,,,,,,,
July,2016,Gilgit,,,,,,,,,,,,,,
August,2016,Gilgit,,,,,,,,,,,,,,
September,2016,Gilgit,,,,,,,,,,,,,,
October,2016,Gilgit,,,,,,,,,,,,,,
November,2016,Gilgit,,,,,,,,,,,,,,
December,2016,Gilgit,,,,,,,,,,,,,,
Janruary,2017,Gilgit,,,,,,,,,,,,,,
February,2017,Gilgit,,,,,,,,,,,,,,
March,2017,Gilgit,,,,,,,,,,,,,,
April,2017,Gilgit,,,,,,,,,,,,,,
May,2017,Gilgit,,,,,,,,,,,,,,
June,2017,Gilgit,,,,,,,,,,,,,,
July,2017,Gilgit,,,,,,,,,,,,,,
August,2017,Gilgit,,,,,,,,,,,,,,
September,2017,Gilgit,Yes,,,,,,,,,,,,,
October,2017,Gilgit,,,,,,,,,,,,,,
November,2017,Gilgit,,,,,,,,,,,,,,
December,2017,Gilgit,,,,,,,,,,,,,,
Janruary,2018,Gilgit,,,,,,,,,,,,,,
February,2018,Gilgit,,,,,,,,,,,,,,
March,2018,Gilgit,,,,,,,,,,,,,,
April,2018,Gilgit,,,,,,,,,,,,,,
May,2018,Gilgit,,,,,,,,,,,,,,
June,2018,Gilgit,,,,,,,,,,,,,,
July,2018,Gilgit,,,,,,,,,,,,,,
August,2018,Gilgit,,,,,,,,,,,,,,
September,2018,Gilgit,,,,,,,,,,,,,,
October,2018,Gilgit,,,,,,,,,,,,,,
November,2018,Gilgit,,,,,,,,,,,,,,
December,2018,Gilgit,,,,,,,,,,,,,,
Janruary,2019,Gilgit,,,,,,,,,,,,,,
