Month,Year,Temp,Ice,veg,Flood,Rain(mm)
3,2000,2.9812258064516133,0.4258387096774194,368.545,False,34.59599999999999
4,2000,12.708964285714286,0.3811,626.6595,False,15.639000000000001
5,2000,19.24951612903226,0.1895483870967742,1166.658,False,35.088
6,2000,21.013766666666665,0.11186666666666666,1753.9175,False,33.933
7,2000,20.866999999999997,0.07519354838709677,2098.979,False,42.868
8,2000,21.536473684210524,0.019421052631578947,1964.6145000000001,False,39.745999999999995
9,2000,19.569566666666667,0.0441,1580.4160000000002,False,41.09100000000001
10,2000,14.247129032258064,0.09480645161290323,1178.388,False,8.442000000000002
11,2000,3.9896000000000003,0.2228,783.341,False,6.662000000000001
12,2000,-6.0525806451612905,0.3736774193548387,472.53150000000005,False,14.426999999999996
1,2001,-4.522096774193549,0.3665483870967742,433.517,False,12.849
2,2001,0.9412857142857142,0.34746428571428567,529.379,False,15.934999999999999
3,2001,4.758709677419355,0.38116129032258067,525.9490000000001,False,29.905999999999995
4,2001,12.549466666666666,0.3350666666666667,653.5595000000001,False,29.308999999999997
5,2001,20.42183870967742,0.16041935483870967,1205.9405,False,27.814999999999998
6,2001,22.103,0.06433333333333333,1767.092,False,41.559000000000005
7,2001,21.31351724137931,0.026896551724137928,2185.9425,False,58.489999999999995
8,2001,22.798870967741934,-0.03848387096774194,1989.3905,False,44.592999999999996
9,2001,17.548000000000002,0.047266666666666665,1423.323,False,41.20800000000001
10,2001,12.377064516129034,0.0905483870967742,1161.115,False,10.64
11,2001,0.43343333333333334,0.3806333333333333,513.02,False,11.455999999999998
12,2001,-5.965935483870968,0.3779677419354839,404.445,False,12.760000000000002
1,2002,-8.850516129032258,0.44432258064516134,296.5955,False,15.161000000000001
2,2002,-3.884571428571429,0.43392857142857144,326.87699999999995,False,29.658
3,2002,0.4564782608695652,0.45534782608695645,433.6055,False,35.367000000000004
4,2002,9.284413793103448,0.4185862068965517,562.7375,False,44.559000000000005
5,2002,16.382709677419353,0.29077419354838707,894.1825,False,20.887
