Month,Year,Temp,Ice,veg,Flood,Rain(mm)
3,2000,24.030483870967743,-0.1234516129032258,4005.3395,False,33.516
4,2000,36.019214285714284,-0.21756666666666666,3388.615,False,25.166999999999998
5,2000,39.77287096774194,-0.23741935483870968,2488.469,False,34.509
6,2000,35.71573333333333,-0.14856666666666665,2671.7165,False,95.50899999999999
7,2000,31.88641935483871,-0.05106451612903226,4731.4220000000005,False,230.653
8,2000,28.86047368421053,-0.13942105263157895,5539.1155,False,289.216
9,2000,27.970666666666666,-0.2567333333333333,4562.218,False,121.96199999999999
10,2000,31.764193548387098,-0.3257741935483871,3522.5125,False,14.416
11,2000,23.857133333333334,-0.29440000000000005,3332.543,False,10.556000000000001
12,2000,18.254967741935484,-0.25841935483870965,3100.76,False,36.647000000000006
1,2001,17.461354838709678,-0.313,2946.286,False,14.201999999999998
2,2001,23.97225,-0.28985714285714287,2618.9314999999997,False,19.160999999999998
3,2001,29.828354838709675,-0.2963225806451613,2608.6455,False,54.09899999999999
4,2001,34.358333333333334,-0.15073333333333333,2537.504,False,46.56000000000001
5,2001,39.26587096774193,-0.34383870967741936,2177.557,False,29.978
6,2001,33.190533333333335,-0.22493333333333335,3474.579,False,95.837
7,2001,29.767931034482757,-0.12037931034482759,5309.3955000000005,True,380.531
8,2001,29.117387096774195,-0.20058064516129032,5070.009,False,192.29999999999998
9,2001,30.0352,-0.34126666666666666,4049.3205,False,119.179
10,2001,29.44167741935484,-0.3289032258064516,3390.592,False,17.794999999999998
11,2001,23.939200000000003,-0.3143666666666666,3363.5025,False,11.928
12,2001,17.044677419354837,-0.21912903225806452,3274.69,False,21.261000000000003
1,2002,15.500612903225807,-0.27080645161290323,3073.1184999999996,False,23.669
2,2002,18.662107142857142,-0.12378571428571428,2966.873,False,44.492999999999995
3,2002,25.06282608695652,-0.17817391304347827,3496.0190000000002,False,36.637
4,2002,32.81051724137931,-0.16989655172413795,2899.6980000000003,False,33.007
5,2002,42.28645161290323,-0.2850645161290323,2198.2295,False,17.289
6,2002,37.56236666666667,-0.28986666666666666,2651.562,False,89.57700000000001
7,2002,34.77609677419355,-0.3157096774193548,3211.973,False,103.34199999999998
8,2002,27.032451612903223,-0.008999999999999998,5037.088,False,365.35300000000007
9,2002,27.808466666666668,-0.2376333333333333,5265.289000000001,False,135.90800000000004
10,2002,28.418935483870968,-0.34341935483870967,3889.234,False,38.646
11,2002,22.830166666666667,-0.3228,3608.1115,False,14.217
12,2002,16.028612903225806,-0.1807741935483871,3437.2675,False,29.041
1,2003,14.734774193548388,-0.1949032258064516,3329.4355,False,54.759
2,2003,16.577,-0.08667857142857141,3542.4205,False,165.33599999999998
3,2003,21.36883870967742,-0.1674516129032258,3928.16,False,75.38700000000001
4,2003,30.65056666666667,-0.22403333333333333,3819.89,False,63.735000000000014
5,2003,35.92035483870968,-0.2425483870967742,2983.196,False,25.689
6,2003,38.15153333333333,-0.2684666666666667,3039.9735,False,74.18599999999999
7,2003,29.17358064516129,-0.16493548387096776,5388.4285,False,402.593
8,2003,28.922612903225808,-0.17474193548387096,5621.504999999999,False,155.988
9,2003,27.5486,-0.19106666666666666,4758.9975,False,173.83100000000002
10,2003,28.924903225806453,-0.4117741935483871,3919.898,False,13.509
11,2003,20.7058,-0.25786666666666663,3800.877,False,20.875
12,2003,14.70275,-0.126625,3875.9719999999998,False,26.159
1,2004,13.83567741935484,-0.0682258064516129,4259.254,False,174.81400000000002
2,2004,18.685206896551723,-0.2778965517241379,4388.2815,False,62.273
3,2004,26.85474193548387,-0.31174193548387097,4428.1985,False,13.275
4,2004,30.0768,-0.08963333333333333,3540.907,False,87.684
5,2004,38.47309677419354,-0.3290322580645161,3057.9595,False,20.22
6,2004,34.801399999999994,-0.27096666666666663,3651.5415000000003,False,69.091
7,2004,31.51032258064516,-0.29893548387096774,4540.515,False,177.459
8,2004,28.597354838709677,-0.17906451612903226,5504.0509999999995,False,284.53200000000004
9,2004,30.821033333333332,-0.32449999999999996,4147.151,False,84.60099999999998
10,2004,25.780709677419356,-0.20051612903225807,3934.102,False,62.202
11,2004,22.976066666666668,-0.2808333333333334,3657.978,False,24.509
12,2004,13.860516129032257,-0.11967741935483871,4125.594,False,29.618000000000002
1,2005,12.31516129032258,-0.14274193548387096,4215.389,False,123.00899999999999
2,2005,14.842250000000002,0.002857142857142856,4295.264999999999,False,126.974
3,2005,22.037548387096773,-0.09716129032258064,4721.896000000001,False,121.33000000000003
4,2005,28.812633333333334,-0.16553333333333334,4233.799,False,23.137
